"row_id","order_id","order_date","ship_date","ship_mode","customer_id","customer_name","segment","city","state","country","postal_code","market","region","product_id","sales","quantity","discount","profit","shipping_cost","order_priority"
"957","MX-2014-105921","2014-05-28","2014-06-03","Standard Class","ZC-21910","Zuschuss Carroll","Consumer","San Salvador","San Salvador","El Salvador","","LATAM","Central","TEC-AC-10004626","342.08","2","0","0","21.713","Medium"
"24359","ID-2013-61442","2013-01-15","2013-01-21","Standard Class","JB-16000","Joy Bell-","Consumer","Manila","National Capital","Philippines","","APAC","Southeast Asia","OFF-BI-10001400","122.4","5","0.15","0","21.71","Low"
"32298","CA-2012-124891","2012-07-31","2012-07-31","Same Day","RH-19495","Rick Hansen","Consumer","New York City","New York","United States","10024","US","East","TEC-AC-10003033","2309.65","7","0","762.1845","933.57","Critical"
"26341","IN-2013-77878","2013-02-05","2013-02-07","Second Class","JR-16210","Justin Ritter","Corporate","Wollongong","New South Wales","Australia","","APAC","Oceania","FUR-CH-10003950","3709.395","9","0.1","-288.765","923.63","Critical"
"25330","IN-2013-71249","2013-10-17","2013-10-18","First Class","CR-12730","Craig Reiter","Consumer","Brisbane","Queensland","Australia","","APAC","Oceania","TEC-PH-10004664","5175.171","9","0.1","919.971","915.49","Medium"
"13524","ES-2013-1579342","2013-01-28","2013-01-30","First Class","KM-16375","Katherine Murray","Home Office","Berlin","Berlin","Germany","","EU","Central","TEC-PH-10004583","2892.51","5","0.1","-96.54","910.16","Medium"
"47221","SG-2013-4320","2013-11-05","2013-11-06","Same Day","RH-9495","Rick Hansen","Consumer","Dakar","Dakar","Senegal","","Africa","Africa","TEC-SHA-10000501","2832.96","8","0","311.52","903.04","Critical"
"22732","IN-2013-42360","2013-06-28","2013-07-01","Second Class","JM-15655","Jim Mitchum","Corporate","Sydney","New South Wales","Australia","","APAC","Oceania","TEC-PH-10000030","2862.675","5","0.1","763.275","897.35","Critical"
"30570","IN-2011-81826","2011-11-07","2011-11-09","First Class","TS-21340","Toby Swindell","Consumer","Porirua","Wellington","New Zealand","","APAC","Oceania","FUR-CH-10004050","1822.08","4","0","564.84","894.77","Critical"
"31192","IN-2012-86369","2012-04-14","2012-04-18","Standard Class","MB-18085","Mick Brown","Consumer","Hamilton","Waikato","New Zealand","","APAC","Oceania","FUR-TA-10002958","5244.84","6","0","996.48","878.38","High"
"40155","CA-2014-135909","2014-10-14","2014-10-21","Standard Class","JW-15220","Jane Waco","Corporate","Sacramento","California","United States","95823","US","West","OFF-BI-10003527","5083.96","5","0.2","1906.485","867.69","Low"
"40936","CA-2012-116638","2012-01-28","2012-01-31","Second Class","JH-15985","Joseph Holt","Consumer","Concord","North Carolina","United States","28027","US","South","FUR-TA-10000198","4297.644","13","0.4","-1862.3124","865.74","Critical"
"34577","CA-2011-102988","2011-04-05","2011-04-09","Second Class","GM-14695","Greg Maxwell","Corporate","Alexandria","Virginia","United States","22304","US","South","OFF-SU-10002881","4164.05","5","0","83.281","846.54","High"
"28879","ID-2012-28402","2012-04-19","2012-04-22","First Class","AJ-10780","Anthony Jacobs","Corporate","Kabul","Kabul","Afghanistan","","APAC","Central Asia","FUR-TA-10001889","4626.15","5","0","647.55","835.57","High"
"45794","SA-2011-1830","2011-12-27","2011-12-29","Second Class","MM-7260","Magdelene Morse","Consumer","Jizan","Jizan","Saudi Arabia","","EMEA","EMEA","TEC-CIS-10001717","2616.96","4","0","1151.4","832.41","Critical"
"4132","MX-2012-130015","2012-11-13","2012-11-13","Same Day","VF-21715","Vicky Freymann","Home Office","Toledo","Parana","Brazil","","LATAM","South","FUR-CH-10002033","2221.8","7","0","622.02","810.25","Critical"
"27704","IN-2013-73951","2013-06-06","2013-06-08","Second Class","PF-19120","Peter Fuller","Consumer","Mudanjiang","Heilongjiang","China","","APAC","North Asia","OFF-AP-10003500","3701.52","12","0","1036.08","804.54","Critical"
"13779","ES-2014-5099955","2014-07-31","2014-08-03","Second Class","BP-11185","Ben Peterman","Corporate","Paris","Ile-de-France","France","","EU","Central","OFF-AP-10000423","1869.588","4","0.1","186.948","801.66","Critical"
"36178","CA-2014-143567","2014-11-03","2014-11-06","Second Class","TB-21175","Thomas Boland","Corporate","Henderson","Kentucky","United States","42420","US","South","TEC-AC-10004145","2249.91","9","0","517.4793","780.7","Critical"
"12069","ES-2014-1651774","2014-09-08","2014-09-14","Standard Class","PJ-18835","Patrick Jones","Corporate","Prato","Tuscany","Italy","","EU","South","OFF-AP-10004512","7958.58","14","0","3979.08","778.32","Low"
"22096","IN-2014-11763","2014-01-31","2014-02-01","First Class","JS-15685","Jim Sink","Corporate","Townsville","Queensland","Australia","","APAC","Oceania","TEC-CO-10000865","2565.594","9","0.1","28.404","766.93","Critical"
"49463","TZ-2014-8190","2014-12-05","2014-12-07","Second Class","RH-9555","Ritsa Hightower","Consumer","Uvinza","Kigoma","Tanzania","","Africa","Africa","OFF-KIT-10004058","3409.74","6","0","818.28","763.38","High"
"46630","PL-2012-7820","2012-08-08","2012-08-10","First Class","AB-600","Ann Blume","Corporate","Bytom","Silesia","Poland","","EMEA","EMEA","FUR-HON-10000224","1977.72","4","0","276.84","759.47","Critical"
"31784","CA-2011-154627","2011-10-29","2011-10-31","First Class","SA-20830","Sue Ann Reed","Consumer","Chicago","Illinois","United States","60610","US","Central","TEC-PH-10001363","2735.952","6","0.2","341.994","752.51","High"
